num_updates,n_env,iteration
305,1,0
305,1,1
305,1,2
305,1,3
305,1,4
305,1,5
305,1,6
305,1,7
305,1,8
305,1,9
575,2,0
575,2,1
575,2,2
575,2,3
575,2,4
575,2,5
575,2,6
575,2,7
575,2,8
575,2,9
1125,4,0
1125,4,1
1125,4,2
1125,4,3
1125,4,4
1125,4,5
1125,4,6
1125,4,7
1125,4,8
1125,4,9
2235,8,0
2235,8,1
2235,8,2
2235,8,3
2235,8,4
2235,8,5
2235,8,6
2235,8,7
2235,8,8
2235,8,9
4445,16,0
4445,16,1
4445,16,2
4445,16,3
4445,16,4
4445,16,5
4445,16,6
4445,16,7
4445,16,8
4445,16,9
8855,32,0
8855,32,1
8855,32,2
8855,32,3
8855,32,4
8855,32,5
8855,32,6
8855,32,7
8590,32,8
8855,32,9
